tahun,nama_kabupaten_kota,luas_areal_tanam_hektar,luas_panen_jagung_hektar,produktivitas_jagung,produksi_jagung
2015,KABUPATEN BOGOR,3097,9,44.44,40
2015,KABUPATEN SUKABUMI,8652,6164,62.86,38745
2015,KABUPATEN CIANJUR,5627,3812,74.72,28483
2015,KABUPATEN BANDUNG,8504,6634,49.86,33079
2015,KABUPATEN GARUT,69828,69460,83.02,576661
2015,KABUPATEN TASIKMALAYA,6571,6067,63.81,38711
2015,KABUPATEN CIAMIS,3179,3561,62.36,22208
2015,KABUPATEN KUNINGAN,1841,1716,79.0,13556
2015,KABUPATEN CIREBON,3905,52,77.31,402
2015,KABUPATEN MAJALENGKA,15940,15598,75.95,118464
2015,KABUPATEN SUMEDANG,11186,9479,73.35,69527
2015,KABUPATEN INDRAMAYU,100,89,68.43,609
2015,KABUPATEN SUBANG,371,113,45.75,517
2015,KABUPATEN PURWAKARTA,1740,833,54.26,4520
2015,KABUPATEN KARAWANG,231,22,53.64,118
2015,KABUPATEN BEKASI,15,3,60.0,18
2015,KABUPATEN BANDUNG BARAT,3994,3046,44.37,13516
2015,KABUPATEN PANGANDARAN,72,61,34.26,209
2015,KOTA BOGOR,161,16,64.38,103
2015,KOTA SUKABUMI,27,26,68.85,179
2015,KOTA CIREBON,1,1,20.0,2
2015,KOTA BEKASI,38,33,32.12,106
2015,KOTA TASIKMALAYA,12,12,45.0,54
2015,KOTA BANJAR,21,21,50.48,106
2016,KABUPATEN BOGOR,1044,240,60.07,1441
2016,KABUPATEN SUKABUMI,18668,17477,65.95,115257
2016,KABUPATEN CIANJUR,9573,8220,77.56,63752
2016,KABUPATEN BANDUNG,13466,11075,77.6,85940
2016,KABUPATEN GARUT,86025,85814,89.58,768744
2016,KABUPATEN TASIKMALAYA,17114,16746,67.82,113572
2016,KABUPATEN CIAMIS,4997,4992,86.02,42938
2016,KABUPATEN KUNINGAN,3163,3073,76.42,23486
2016,KABUPATEN CIREBON,4430,291,79.29,2305
2016,KABUPATEN MAJALENGKA,17887,17888,84.99,152032
2016,KABUPATEN SUMEDANG,11699,10580,80.53,85195
2016,KABUPATEN INDRAMAYU,14879,13134,77.66,101999
2016,KABUPATEN SUBANG,574,115,51.53,590
2016,KABUPATEN PURWAKARTA,2665,1404,67.76,9512
2016,KABUPATEN KARAWANG,916,351,85.44,2998
2016,KABUPATEN BEKASI,21,12,68.33,82
2016,KABUPATEN BANDUNG BARAT,6892,6589,77.16,50835
2016,KABUPATEN PANGANDARAN,1055,962,66.91,6437
2016,KOTA BOGOR,181,8,60.76,48
2016,KOTA SUKABUMI,49,44,79.18,346
2016,KOTA BEKASI,31,27,47.21,127
2016,KOTA DEPOK,35,2,50.0,10
2016,KOTA CIMAHI,22,1,50.0,5
2016,KOTA TASIKMALAYA,484,478,47.07,2250
2016,KOTA BANJAR,63,63,51.43,324
2017,KABUPATEN BOGOR,469,144,51.0,736
2017,KABUPATEN SUKABUMI,12153,9919,66.7,66155
2017,KABUPATEN CIANJUR,8188,7643,78.28,59828
2017,KABUPATEN GARUT,81116,80799,87.91,710284
2017,KABUPATEN TASIKMALAYA,13284,13718,70.05,96099
2017,KABUPATEN CIAMIS,3992,4069,62.46,25416
2017,KABUPATEN KUNINGAN,3602,3545,67.98,24096
2017,KABUPATEN CIREBON,3711,80,79.67,635
2017,KABUPATEN MAJALENGKA,19204,19088,82.63,157726
2017,KABUPATEN SUMEDANG,12776,11535,75.06,86580
2017,KABUPATEN INDRAMAYU,2140,1610,76.88,12377
2017,KABUPATEN SUBANG,300,79,50.64,398
2017,KABUPATEN PURWAKARTA,971,448,66.92,2996
2017,KABUPATEN KARAWANG,374,353,80.88,2856
2017,KABUPATEN BEKASI,8,1,60.0,6
2017,KABUPATEN BANDUNG BARAT,3989,3961,68.12,26978
2017,KABUPATEN PANGANDARAN,1880,1143,66.89,7648
2017,KOTA BANJAR,317,309,39.03,1206
2018,KABUPATEN BOGOR,800,584,80.34,4688
2018,KABUPATEN SUKABUMI,16519,15384,66.37,102104
2018,KABUPATEN CIANJUR,14398,13321,77.75,103566
2018,KABUPATEN BANDUNG,11620,12014,1.0,83410
2018,KABUPATEN GARUT,82160,82160,81.18,666963
2018,KABUPATEN TASIKMALAYA,17266,16460,64.77,106617
2018,KABUPATEN CIAMIS,6837,6562,63.51,41676
2018,KABUPATEN KUNINGAN,2820,2770,63.77,17666
2018,KABUPATEN CIREBON,5087,295,79.39,2338
2018,KABUPATEN MAJALENGKA,17743,17826,78.34,139647
2018,KABUPATEN SUMEDANG,11234,10786,76.96,83005
2018,KABUPATEN INDRAMAYU,3783,2121,80.18,17004
2018,KABUPATEN SUBANG,687,386,51.38,1985
2018,KABUPATEN PURWAKARTA,1353,1117,64.64,7217
2018,KABUPATEN KARAWANG,907,953,68.52,6531
2018,KABUPATEN BEKASI,4,4,60.0,24
2018,KABUPATEN BANDUNG BARAT,5087,4837,72.1,34877
2018,KABUPATEN PANGANDARAN,1094,1031,56.16,5788
2018,KOTA BANJAR,740,737,42.65,3143
2019,KABUPATEN BOGOR,399,287,46.23,1328
2019,KABUPATEN SUKABUMI,26122,24484,65.51,160393
2019,KABUPATEN CIANJUR,7902,7130,64.09,45695
2019,KABUPATEN BANDUNG,14518,14478,2.0,104622
2019,KABUPATEN GARUT,67463,67293,77.19,519446
2019,KABUPATEN TASIKMALAYA,9082,8419,60.32,50784
2019,KABUPATEN CIAMIS,5253,5150,72.73,37454
2019,KABUPATEN KUNINGAN,3282,3232,71.52,23119
2019,KABUPATEN CIREBON,5575,135,78.7,1061
2019,KABUPATEN MAJALENGKA,19690,18922,75.46,142779
2019,KABUPATEN SUMEDANG,22714,22429,77.23,173214
2019,KABUPATEN INDRAMAYU,475,455,59.92,2726
2019,KABUPATEN SUBANG,910,304,56.41,1714
2019,KABUPATEN PURWAKARTA,1185,1017,67.91,6907
2019,KABUPATEN KARAWANG,447,421,64.57,2718
2019,KABUPATEN BEKASI,2,2,60.0,9
2019,KABUPATEN BANDUNG BARAT,5369,5323,49.39,26291
2019,KABUPATEN PANGANDARAN,591,589,66.13,3894
2019,KOTA BANJAR,420,431,41.12,1772
