id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_jagung,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,40,TON,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,38745,TON,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,28483,TON,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,33079,TON,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,576661,TON,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,38711,TON,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,22208,TON,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,13556,TON,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,402,TON,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,118464,TON,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,69527,TON,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,609,TON,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,517,TON,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4520,TON,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,118,TON,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,18,TON,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,13516,TON,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,209,TON,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,103,TON,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,179,TON,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,2,TON,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,106,TON,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,54,TON,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,106,TON,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,1441,TON,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,115257,TON,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,63752,TON,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,85940,TON,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,768744,TON,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,113572,TON,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,42938,TON,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,23486,TON,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,2305,TON,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,152032,TON,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,85195,TON,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,101999,TON,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,590,TON,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,9512,TON,2016
