id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_areal_tanam,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3097,HEKTAR,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8652,HEKTAR,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5627,HEKTAR,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8504,HEKTAR,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,69828,HEKTAR,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6571,HEKTAR,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3179,HEKTAR,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1841,HEKTAR,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,3905,HEKTAR,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,15940,HEKTAR,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11186,HEKTAR,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,100,HEKTAR,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,371,HEKTAR,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1740,HEKTAR,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,231,HEKTAR,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,15,HEKTAR,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3994,HEKTAR,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,72,HEKTAR,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,161,HEKTAR,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,27,HEKTAR,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,1,HEKTAR,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,38,HEKTAR,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,39,HEKTAR,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,36,HEKTAR,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,HEKTAR,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,21,HEKTAR,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,1044,HEKTAR,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,18668,HEKTAR,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9573,HEKTAR,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,13466,HEKTAR,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,86025,HEKTAR,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,17114,HEKTAR,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4997,HEKTAR,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3163,HEKTAR,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,4430,HEKTAR,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,17887,HEKTAR,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11699,HEKTAR,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,14879,HEKTAR,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,574,HEKTAR,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2665,HEKTAR,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,916,HEKTAR,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,21,HEKTAR,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6892,HEKTAR,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1055,HEKTAR,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,181,HEKTAR,2016
47,32,JAWA BARAT,3272,KOTA SUKABUMI,49,HEKTAR,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2016
49,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2016
50,32,JAWA BARAT,3275,KOTA BEKASI,31,HEKTAR,2016
