id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,9,HEKTAR,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6164,HEKTAR,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3812,HEKTAR,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6634,HEKTAR,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,69460,HEKTAR,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6067,HEKTAR,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3561,HEKTAR,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1716,HEKTAR,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,52,HEKTAR,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,15598,HEKTAR,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9479,HEKTAR,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,89,HEKTAR,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,113,HEKTAR,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,833,HEKTAR,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,22,HEKTAR,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,HEKTAR,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3046,HEKTAR,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,61,HEKTAR,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,16,HEKTAR,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,26,HEKTAR,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,1,HEKTAR,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,33,HEKTAR,2015
